"Province.State","Country.Region","Lat","Long","date","cases","type"
"","El Salvador",13.7942,-88.8965,2020-01-22,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-23,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-24,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-25,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-26,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-27,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-28,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-29,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-30,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-31,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-01,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-02,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-03,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-04,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-05,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-06,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-07,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-08,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-09,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-10,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-11,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-12,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-13,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-14,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-15,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-16,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-17,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-18,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-19,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-20,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-21,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-22,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-23,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-24,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-25,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-26,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-27,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-28,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-02-29,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-01,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-02,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-03,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-04,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-05,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-06,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-07,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-08,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-09,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-10,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-11,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-12,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-13,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-14,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-15,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-16,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-17,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-18,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-19,1,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-20,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-21,2,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-22,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-23,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-24,2,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-25,4,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-26,4,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-27,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-28,6,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-29,5,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-30,6,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-03-31,2,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-01,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-02,9,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-03,5,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-04,10,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-05,6,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-06,7,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-07,9,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-08,15,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-09,10,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-10,14,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-11,1,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-12,7,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-13,12,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-14,12,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-15,10,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-16,5,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-17,13,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-18,13,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-19,11,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-20,17,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-21,7,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-22,12,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-23,13,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-24,24,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-25,0,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-26,24,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-27,25,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-28,22,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-29,32,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-04-30,18,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-01,29,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-02,22,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-03,44,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-04,65,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-05,32,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-06,46,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-05-07,62,"confirmed"
"","El Salvador",13.7942,-88.8965,2020-01-22,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-23,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-24,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-25,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-26,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-27,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-28,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-29,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-30,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-31,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-01,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-02,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-03,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-04,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-05,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-06,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-07,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-08,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-09,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-10,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-11,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-12,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-13,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-14,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-15,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-16,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-17,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-18,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-19,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-20,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-21,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-22,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-23,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-24,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-25,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-26,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-27,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-28,0,"death"
"","El Salvador",13.7942,-88.8965,2020-02-29,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-01,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-02,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-03,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-04,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-05,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-06,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-07,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-08,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-09,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-10,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-11,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-12,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-13,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-14,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-15,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-16,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-17,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-18,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-19,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-20,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-21,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-22,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-23,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-24,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-25,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-26,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-27,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-28,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-29,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-30,0,"death"
"","El Salvador",13.7942,-88.8965,2020-03-31,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-01,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-02,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-03,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-04,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-05,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-06,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-07,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-08,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-09,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-10,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-11,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-12,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-13,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-14,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-15,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-16,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-17,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-18,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-19,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-20,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-21,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-22,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-23,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-24,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-25,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-26,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-27,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-28,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-29,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-30,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-01,0,"death"
"","El Salvador",13.7942,-88.8965,2020-05-02,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-03,0,"death"
"","El Salvador",13.7942,-88.8965,2020-05-04,2,"death"
"","El Salvador",13.7942,-88.8965,2020-05-05,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-06,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-07,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-30,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-31,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-04,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-06,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-08,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-09,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-10,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-11,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-12,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-13,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-14,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-15,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-16,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-17,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-18,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-19,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-20,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-21,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-04,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-06,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-08,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-09,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-10,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-11,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-12,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-13,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-14,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-15,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-16,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-17,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-18,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-19,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-20,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-21,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-30,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-03-31,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-04,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-06,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-08,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-09,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-10,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-11,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-12,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-13,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-14,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-15,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-16,3,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-17,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-18,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-19,1,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-20,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-21,2,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-22,15,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-23,4,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-24,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-26,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-27,6,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-28,8,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-29,9,"recovered"
"","El Salvador",13.7942,-88.8965,2020-04-30,13,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-01,5,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-02,17,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-03,13,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-04,26,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-05,25,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-06,14,"recovered"
"","El Salvador",13.7942,-88.8965,2020-05-07,33,"recovered"
